data,condition,noise,silence,animal
0.3740049999999999,300_900,300,900,labels_aup_0024
0.3209993106575979,300_900,300,900,labels_aup_0024
0.19287320181405931,300_900,300,900,labels_aup_0024
0.2430250408163488,300_900,300,900,labels_aup_0024
0.738238931972802,300_900,300,900,labels_aup_0024
0.2616708526077218,300_900,300,900,labels_aup_0024
0.11404379818594634,300_900,300,900,labels_aup_0024
1.0447516235827667,900_600,900,600,labels_aup_0024
0.32896889569161125,900_600,900,600,labels_aup_0024
0.49993005895691667,900_600,900,600,labels_aup_0024
0.29297590476190294,900_600,900,600,labels_aup_0024
0.1756011768707495,900_600,900,600,labels_aup_0024
0.3081636077097514,900_600,900,600,labels_aup_0024
0.1990510136054482,900_600,900,600,labels_aup_0024
0.11550144897959314,900_600,900,600,labels_aup_0024
0.43149204308389244,900_600,900,600,labels_aup_0024
0.32315842857141774,900_600,900,600,labels_aup_0024
0.384671517006808,900_600,900,600,labels_aup_0024
1.0417625260771217,900_600,900,600,labels_aup_0024
0.11517467800453485,600_300,600,300,labels_aup_0024
0.18171154421768776,600_300,600,300,labels_aup_0024
0.2744468208616766,600_300,600,300,labels_aup_0024
0.2901468253968318,600_300,600,300,labels_aup_0024
0.6691732448979479,600_300,600,300,labels_aup_0024
0.7264834671201754,600_300,600,300,labels_aup_0024
0.6316970907029429,600_300,600,300,labels_aup_0024
0.3704137437642032,600_300,600,300,labels_aup_0024
0.6049380952381114,600_300,600,300,labels_aup_0024
0.3467532222222225,300_600,300,600,labels_aup_0024
0.3825885532879809,300_600,300,600,labels_aup_0024
0.27593733560090783,300_600,300,600,labels_aup_0024
0.34042310204081616,300_600,300,600,labels_aup_0024
0.4545581156462788,300_600,300,600,labels_aup_0024
0.3012719024943351,300_600,300,600,labels_aup_0024
0.39583217460318565,300_600,300,600,labels_aup_0024
0.9626915736961408,600_900,600,900,labels_aup_0024
0.7103003900226739,600_900,600,900,labels_aup_0024
0.5126144535147432,600_900,600,900,labels_aup_0024
0.6020009977324179,600_900,600,900,labels_aup_0024
0.8238738185941372,600_900,600,900,labels_aup_0024
0.35251268934240443,600_900,600,900,labels_aup_0024
0.24091520634920016,900_300,900,300,labels_aup_0024
0.9515232063491936,900_300,900,300,labels_aup_0024
0.19045239909296185,900_300,900,300,labels_aup_0024
0.9891073786847926,900_300,900,300,labels_aup_0024
0.5550090000000001,300_900,300,900,labels_aup_1041
0.37260578684807166,300_900,300,900,labels_aup_1041
0.2546427074829918,300_900,300,900,labels_aup_1041
0.2986536870748253,300_900,300,900,labels_aup_1041
0.03280331065759867,300_900,300,900,labels_aup_1041
0.2831242018140543,300_900,300,900,labels_aup_1041
0.46106026077096374,300_900,300,900,labels_aup_1041
0.45910415192743415,300_900,300,900,labels_aup_1041
0.9727851315192595,300_900,300,900,labels_aup_1041
0.17028253741496258,300_900,300,900,labels_aup_1041
0.9460345374149597,300_900,300,900,labels_aup_1041
0.8324389478458016,300_900,300,900,labels_aup_1041
0.38209854648525265,300_900,300,900,labels_aup_1041
