data,condition,animal
0.1229099999999903,300sc,ABN22.txt
0.13198300000004792,300sc,ABN22.txt
0.1426869999999667,300sc,ABN22.txt
0.4240109999999504,300sc,ABN22.txt
0.10084699999998747,300sc,ABN22.txt
0.002322999999989861,300sc,ABN22.txt
0.12718900000004396,300sc,ABN22.txt
0.3628909999999905,300sc,ABN22.txt
0.32491999999996324,300sc,ABN22.txt
0.10480000000001155,300sc,ABN22.txt
0.32678800000002184,300sc,ABN22.txt
0.13602199999996856,300sc,ABN22.txt
0.06524200000001201,300sc,ABN22.txt
0.28822999999999865,300sc,ABN22.txt
0.15292000000005146,300sc,ABN22.txt
0.368028000000038,300sc,ABN22.txt
0.39400000000000546,300sc,ABN22.txt
0.2698080000000118,300sc,ABN22.txt
0.0795840000000112,300sc,ABN22.txt
0.26474300000000994,300sc,ABN22.txt
0.2953229999999962,300sc,ABN22.txt
0.14729799999997795,300sc,ABN22.txt
0.41690700000003744,300sc,ABN22.txt
0.20066700000000992,300sc,ABN22.txt
0.2916270000000054,300sc,ABN22.txt
0.08914599999997108,300sc,ABN22.txt
0.1324849999999742,300sc,ABN22.txt
0.1732260000000565,300sc,ABN22.txt
0.28701900000004343,300sc,ABN22.txt
0.10472900000002028,300sc,ABN22.txt
0.3234350000000177,300sc,ABN22.txt
0.18976599999996324,300sc,ABN22.txt
0.3407030000000191,300sc,ABN22.txt
0.31490300000001525,300sc,ABN22.txt
0.10554300000001149,300sc,ABN22.txt
0.25124099999999316,300sc,ABN22.txt
0.39893999999998186,300sc,ABN22.txt
0.35427500000002965,300sc,ABN22.txt
0.36111099999999396,300sc,ABN22.txt
0.28837500000003047,300sc,ABN22.txt
0.04187000000001717,300sc,ABN22.txt
0.28181100000006154,300sc,ABN22.txt
0.22794100000004391,300sc,ABN22.txt
0.32209499999999025,300sc,ABN22.txt
0.27055100000001175,300sc,ABN22.txt
0.36210800000003474,300sc,ABN22.txt
0.19840100000004668,300sc,ABN22.txt
0.16445099999998547,300sc,ABN22.txt
0.3629649999999742,300sc,ABN22.txt
0.20222599999999602,300sc,ABN22.txt
0.3260480000000143,300sc,ABN22.txt
0.27386300000000574,300sc,ABN22.txt
0.23498999999998205,300sc,ABN22.txt
0.19456299999995963,300sc,ABN22.txt
0.28288200000002917,300sc,ABN22.txt
0.3777210000000082,300sc,ABN22.txt
0.22186099999998987,300sc,ABN22.txt
0.31018000000000256,300sc,ABN22.txt
0.1585579999999709,300sc,ABN22.txt
0.24268299999999954,300sc,ABN22.txt
0.45127100000001974,300sc,ABN22.txt
0.4176800000000185,300sc,ABN22.txt
0.2829669999999851,300sc,ABN22.txt
0.00939099999999371,300sc,ABN22.txt
0.3690040000000181,300sc,ABN22.txt
0.1570459999999798,300sc,ABN22.txt
0.42173099999996566,300sc,ABN22.txt
0.2573950000000309,300sc,ABN22.txt
0.02100699999994049,300sc,ABN22.txt
0.22280399999999645,300sc,ABN22.txt
0.2560250000000224,300sc,ABN22.txt
0.16273899999998775,300sc,ABN22.txt
0.32639100000005783,300sc,ABN22.txt
0.15133899999989353,300sc,ABN22.txt
0.020908999999960542,300sc,ABN22.txt
0.2005139999999983,300sc,ABN22.txt
0.3058300000000145,300sc,ABN22.txt
0.1532080000000633,300sc,ABN22.txt
0.27447700000004716,300sc,ABN22.txt
0.368033999999966,300sc,ABN22.txt
0.3333989999999858,300sc,ABN22.txt
0.2225189999999202,300sc,ABN22.txt
0.3776940000000195,300sc,ABN22.txt
0.18528700000001663,300sc,ABN22.txt
0.3721299999999701,300sc,ABN22.txt
0.08912099999997736,300sc,ABN22.txt
0.17808100000002014,300sc,ABN22.txt
0.168920000000071,300sc,ABN22.txt
0.3961460000000443,300sc,ABN22.txt
0.15907300000003488,300sc,ABN22.txt
0.2685840000000326,300sc,ABN22.txt
0.32563699999991513,300sc,ABN22.txt
0.15797500000007858,300sc,ABN22.txt
0.347056000000066,300sc,ABN22.txt
0.22086400000000594,300sc,ABN22.txt
0.2276560000000245,300sc,ABN22.txt
0.2859809999999925,300sc,ABN22.txt
0.28525200000001405,300sc,ABN22.txt
0.23630500000001575,300sc,ABN22.txt
0.04806099999998992,600sc,ABN22.txt
1.0737239999999986,600sc,ABN22.txt
