session,condition,time,data,time_sec
1,600sc,15,,0.775
1,600sc,16,,0.8250000000000001
1,600sc,17,,0.8750000000000001
1,600sc,18,,0.925
1,600sc,19,,0.9750000000000001
1,600sc,20,,1.025
1,600sc,21,,1.075
1,600sc,22,,1.125
1,600sc,23,,1.175
1,600sc,24,,1.225
1,600sc,25,,1.275
1,600sc,26,,1.325
1,600sc,27,,1.375
1,600sc,28,,1.425
1,600sc,29,,1.475
1,600sc,30,,1.525
1,600sc,31,,1.575
1,600sc,32,,1.625
1,600sc,33,,1.675
1,600sc,34,,1.725
1,600sc,35,,1.775
1,900sc,0,,0.025
1,900sc,1,,0.07500000000000001
1,900sc,2,,0.125
1,900sc,3,,0.17500000000000002
1,900sc,4,,0.225
1,900sc,5,,0.275
1,900sc,6,,0.32500000000000007
1,900sc,7,,0.37500000000000006
1,900sc,8,,0.42500000000000004
1,900sc,9,,0.47500000000000003
1,900sc,10,,0.525
1,900sc,11,,0.5750000000000001
1,900sc,12,,0.6250000000000001
1,900sc,13,,0.675
1,900sc,14,,0.7250000000000001
1,900sc,15,,0.775
1,900sc,16,,0.8250000000000001
1,900sc,17,,0.8750000000000001
1,900sc,18,,0.925
1,900sc,19,,0.9750000000000001
1,900sc,20,,1.025
1,900sc,21,,1.075
1,900sc,22,,1.125
1,900sc,23,,1.175
1,900sc,24,,1.225
1,900sc,25,,1.275
1,900sc,26,,1.325
1,900sc,27,,1.375
1,900sc,28,,1.425
1,900sc,29,,1.475
1,900sc,30,,1.525
1,900sc,31,,1.575
1,900sc,32,,1.625
1,900sc,33,,1.675
1,900sc,34,,1.725
1,900sc,35,,1.775
2,300sc,0,3.0,0.025
2,300sc,1,0.0,0.07500000000000001
2,300sc,2,8.0,0.125
2,300sc,3,12.0,0.17500000000000002
2,300sc,4,8.0,0.225
2,300sc,5,16.0,0.275
2,300sc,6,18.0,0.32500000000000007
2,300sc,7,11.0,0.37500000000000006
2,300sc,8,10.0,0.42500000000000004
2,300sc,9,0.0,0.47500000000000003
2,300sc,10,0.0,0.525
2,300sc,11,0.0,0.5750000000000001
2,300sc,12,0.0,0.6250000000000001
2,300sc,13,0.0,0.675
2,300sc,14,0.0,0.7250000000000001
2,300sc,15,0.0,0.775
2,300sc,16,0.0,0.8250000000000001
2,300sc,17,0.0,0.8750000000000001
2,300sc,18,0.0,0.925
2,300sc,19,0.0,0.9750000000000001
2,300sc,20,0.0,1.025
2,300sc,21,0.0,1.075
2,300sc,22,0.0,1.125
2,300sc,23,0.0,1.175
2,300sc,24,0.0,1.225
2,300sc,25,0.0,1.275
2,300sc,26,0.0,1.325
2,300sc,27,0.0,1.375
2,300sc,28,0.0,1.425
2,300sc,29,0.0,1.475
2,300sc,30,0.0,1.525
2,300sc,31,0.0,1.575
2,300sc,32,0.0,1.625
2,300sc,33,0.0,1.675
2,300sc,34,0.0,1.725
2,300sc,35,0.0,1.775
2,600sc,0,0.0,0.025
2,600sc,1,2.0,0.07500000000000001
2,600sc,2,6.0,0.125
2,600sc,3,3.0,0.17500000000000002
2,600sc,4,5.0,0.225
2,600sc,5,4.0,0.275
2,600sc,6,4.0,0.32500000000000007
2,600sc,7,7.0,0.37500000000000006
2,600sc,8,11.0,0.42500000000000004
2,600sc,9,4.0,0.47500000000000003
2,600sc,10,9.0,0.525
2,600sc,11,8.0,0.5750000000000001
2,600sc,12,10.0,0.6250000000000001
2,600sc,13,6.0,0.675
2,600sc,14,8.0,0.7250000000000001
2,600sc,15,1.0,0.775
2,600sc,16,0.0,0.8250000000000001
2,600sc,17,1.0,0.8750000000000001
2,600sc,18,1.0,0.925
2,600sc,19,1.0,0.9750000000000001
2,600sc,20,0.0,1.025
2,600sc,21,0.0,1.075
2,600sc,22,0.0,1.125
2,600sc,23,0.0,1.175
2,600sc,24,0.0,1.225
2,600sc,25,0.0,1.275
2,600sc,26,0.0,1.325
2,600sc,27,0.0,1.375
2,600sc,28,0.0,1.425
2,600sc,29,0.0,1.475
2,600sc,30,0.0,1.525
2,600sc,31,0.0,1.575
2,600sc,32,0.0,1.625
2,600sc,33,0.0,1.675
2,600sc,34,0.0,1.725
2,600sc,35,0.0,1.775
2,900sc,0,1.0,0.025
2,900sc,1,2.0,0.07500000000000001
2,900sc,2,1.0,0.125
2,900sc,3,2.0,0.17500000000000002
2,900sc,4,7.0,0.225
2,900sc,5,6.0,0.275
2,900sc,6,7.0,0.32500000000000007
2,900sc,7,11.0,0.37500000000000006
2,900sc,8,11.0,0.42500000000000004
2,900sc,9,2.0,0.47500000000000003
2,900sc,10,5.0,0.525
2,900sc,11,5.0,0.5750000000000001
2,900sc,12,8.0,0.6250000000000001
2,900sc,13,1.0,0.675
2,900sc,14,2.0,0.7250000000000001
2,900sc,15,1.0,0.775
2,900sc,16,3.0,0.8250000000000001
2,900sc,17,0.0,0.8750000000000001
2,900sc,18,1.0,0.925
2,900sc,19,3.0,0.9750000000000001
2,900sc,20,3.0,1.025
2,900sc,21,1.0,1.075
2,900sc,22,4.0,1.125
2,900sc,23,4.0,1.175
2,900sc,24,0.0,1.225
2,900sc,25,2.0,1.275
2,900sc,26,2.0,1.325
2,900sc,27,1.0,1.375
2,900sc,28,1.0,1.425
2,900sc,29,5.0,1.475
2,900sc,30,0.0,1.525
2,900sc,31,1.0,1.575
2,900sc,32,0.0,1.625
2,900sc,33,0.0,1.675
2,900sc,34,0.0,1.725
2,900sc,35,0.0,1.775
3,300sc,0,0.0,0.025
3,300sc,1,4.0,0.07500000000000001
3,300sc,2,4.0,0.125
3,300sc,3,2.0,0.17500000000000002
3,300sc,4,7.0,0.225
3,300sc,5,23.0,0.275
3,300sc,6,15.0,0.32500000000000007
3,300sc,7,5.0,0.37500000000000006
3,300sc,8,2.0,0.42500000000000004
3,300sc,9,0.0,0.47500000000000003
3,300sc,10,0.0,0.525
3,300sc,11,0.0,0.5750000000000001
3,300sc,12,0.0,0.6250000000000001
3,300sc,13,0.0,0.675
3,300sc,14,0.0,0.7250000000000001
3,300sc,15,0.0,0.775
3,300sc,16,0.0,0.8250000000000001
3,300sc,17,0.0,0.8750000000000001
3,300sc,18,0.0,0.925
3,300sc,19,0.0,0.9750000000000001
3,300sc,20,0.0,1.025
3,300sc,21,0.0,1.075
3,300sc,22,0.0,1.125
3,300sc,23,0.0,1.175
