data,condition,animal
0.1856510000000009,300ms,0024
0.31174700000000133,300ms,0024
0.16151600000000244,300ms,0024
0.4633830000000039,300ms,0024
0.38230400000000486,300ms,0024
0.28612600000000477,300ms,0024
0.4270400000000052,300ms,0024
0.4322610000000058,300ms,0024
0.40479299999996243,300ms,0024
0.4587659999999474,300ms,0024
0.3584919999999343,300ms,0024
0.17629499999993214,300ms,0024
0.5049079999999293,300ms,0024
0.42013500000004456,300ms,0024
0.49089400000019623,300ms,0024
0.29303800000087676,300ms,0024
0.5605310000010206,300ms,0024
0.7016800000000103,600ms,0024
0.6624450000000195,600ms,0024
0.6429690000000221,600ms,0024
0.17428500000005442,600ms,0024
0.39190100000007533,600ms,0024
0.5911650000001316,600ms,0024
0.2506260000001532,600ms,0024
1.0853890000001627,600ms,0024
0.3122690000004411,600ms,0024
0.5051880000004587,600ms,0024
0.5202880000004768,600ms,0024
0.2785370000004832,600ms,0024
0.4072430000004772,600ms,0024
0.6149800000005143,600ms,0024
0.5708060000005162,600ms,0024
0.3735100000005218,600ms,0024
0.20091200000052822,600ms,0024
0.16167700000053742,600ms,0024
0.6169480000005763,600ms,0024
0.5727740000006065,600ms,0024
0.6822850000006326,600ms,0024
0.8702650000006429,600ms,0024
0.44194000000067035,600ms,0024
0.2748430000007147,600ms,0024
0.6505210000007651,600ms,0024
0.6129730000008067,600ms,0024
0.6838120000008985,600ms,0024
0.8116360000012719,600ms,0024
0.6538560000012694,600ms,0024
0.29468300000132785,600ms,0024
0.7793090000013763,600ms,0024
0.38471700000138753,600ms,0024
0.5282420000013985,600ms,0024
0.5038260000014247,600ms,0024
0.2966510000014182,600ms,0024
0.3117500000014388,600ms,0024
0.33672900000141226,600ms,0024
0.7379470000014976,600ms,0024
0.6853000000015754,600ms,0024
0.2717940000015915,600ms,0024
1.1927770000016835,600ms,0024
0.31335299999989275,900ms,0024
0.379734999999755,900ms,0024
1.2471469999995861,900ms,0024
0.5396049999995398,900ms,0024
0.9129529999995611,900ms,0024
1.5184549999995625,900ms,0024
0.39310899999952653,900ms,0024
0.2823929999995016,900ms,0024
0.4017849999994496,900ms,0024
0.34540299999946456,900ms,0024
1.7828980000000456,900ms,0024
0.178843999999998,300ms,1041
0.33821599999999563,300ms,1041
0.3064819999999955,300ms,1041
0.4074409999999915,300ms,1041
0.07498099999998686,300ms,1041
0.42293299999998624,300ms,1041
0.280827999999957,300ms,1041
0.3882429999999246,300ms,1041
0.10806399999992067,300ms,1041
0.1458790000000505,300ms,1041
0.40621100000005583,300ms,1041
0.23817900000007342,300ms,1041
0.3135360000000844,300ms,1041
0.2659340000001009,300ms,1041
0.40583500000010986,300ms,1041
0.42493100000015716,300ms,1041
0.03298100000016291,300ms,1041
0.34559400000017604,300ms,1041
0.054604000000196606,300ms,1041
0.186546000000277,300ms,1041
0.3653900000002892,300ms,1041
0.42955900000032443,300ms,1041
0.25179100000033827,300ms,1041
0.4306350000003505,300ms,1041
0.42918300000037846,300ms,1041
0.43386300000040023,300ms,1041
0.33398000000040895,300ms,1041
0.21855400000052327,300ms,1041
0.23296900000056553,300ms,1041
0.18284000000059564,300ms,1041
0.13523800000061215,300ms,1041
0.3176850000006084,300ms,1041
0.19219900000064172,300ms,1041
0.13125800000062782,300ms,1041
0.3039700000006462,300ms,1041
0.10673100000065006,300ms,1041
0.3731950000006634,300ms,1041
0.21489800000068726,300ms,1041
0.12475100000068551,300ms,1041
0.32053800000070964,300ms,1041
0.24012500000071668,300ms,1041
0.1986550000007412,300ms,1041
0.3190860000007376,300ms,1041
0.37244300000077146,300ms,1041
0.2177510000007885,300ms,1041
0.3479170000007912,300ms,1041
0.11534000000079914,300ms,1041
0.19069600000079845,300ms,1041
0.3403330000008111,300ms,1041
0.1099080000008712,300ms,1041
0.14739800000089076,300ms,1041
0.27756400000089343,300ms,1041
0.321186000000921,300ms,1041
0.3186590000009346,300ms,1041
0.286924000000937,300ms,1041
0.4181660000009799,300ms,1041
0.3536210000009703,300ms,1041
0.3316220000009764,300ms,1041
0.41311000000098375,300ms,1041
0.14772300000100813,300ms,1041
0.2857970000010823,300ms,1041
0.16391500000111137,300ms,1041
0.3012880000011364,300ms,1041
0.3860040000011793,300ms,1041
0.4198910000012006,300ms,1041
0.21146500000125457,300ms,1041
0.20533300000124655,300ms,1041
0.21974900000125785,300ms,1041
0.1977500000012924,300ms,1041
0.20495700000128636,300ms,1041
0.5651730000012947,300ms,1041
0.35515900000001466,600ms,1041
0.1384490000000369,600ms,1041
0.3111610000000553,600ms,1041
0.308633000000043,600ms,1041
0.797563000000082,600ms,1041
0.8036430000002213,600ms,1041
0.1679290000002993,600ms,1041
0.2822280000003161,600ms,1041
0.36732000000031917,600ms,1041
0.3258500000003153,600ms,1041
0.31826600000036365,600ms,1041
0.29626700000036976,600ms,1041
0.04061500000037199,600ms,1041
0.3788320000003864,600ms,1041
0.31789000000040346,600ms,1041
0.15959400000042478,600ms,1041
0.18627300000042624,600ms,1041
0.15453800000045703,600ms,1041
0.512226000000453,600ms,1041
0.18842500000044993,600ms,1041
0.15669000000048072,600ms,1041
0.29046000000050753,600ms,1041
0.3074030000004768,600ms,1041
0.6164130000005343,600ms,1041
0.36076100000053657,600ms,1041
0.241406000000552,600ms,1041
0.5745670000005703,600ms,1041
0.3748000000005618,600ms,1041
0.36721700000060764,600ms,1041
0.27922100000068895,600ms,1041
1.0263300000006552,600ms,1041
0.575968000000671,600ms,1041
0.4760840000006965,600ms,1041
0.561176000000728,600ms,1041
0.5294420000006994,600ms,1041
0.2297920000007707,600ms,1041
0.6945700000007946,600ms,1041
0.2340960000008181,600ms,1041
0.26077500000081955,600ms,1041
0.25824700000083567,600ms,1041
0.09995000000088794,600ms,1041
0.8593230000008703,600ms,1041
0.3700180000008686,600ms,1041
0.15330800000089084,600ms,1041
0.18719400000088626,600ms,1041
0.11651800000089452,600ms,1041
0.15293200000093066,600ms,1041
0.13093300000093677,600ms,1041
0.06999200000097971,600ms,1041
0.6541250000009313,600ms,1041
0.7002750000009428,600ms,1041
0.28885400000098116,600ms,1041
0.36421100000097795,600ms,1041
0.36383500000101776,600ms,1041
0.19580300000103534,600ms,1041
0.6800520000010692,600ms,1041
0.25889600000107293,600ms,1041
0.17848400000104903,600ms,1041
0.23436900000109517,600ms,1041
0.3436120000011442,600ms,1041
0.6331510000011349,600ms,1041
0.35550000000114323,600ms,1041
0.22388200000119696,600ms,1041
0.2188260000012292,600ms,1041
0.1917720000012082,600ms,1041
0.6345510000012382,600ms,1041
0.6002890000012826,600ms,1041
0.422521000001268,600ms,1041
0.18634000000128026,600ms,1041
0.24222600000132388,600ms,1041
0.5876500000013607,600ms,1041
0.3027910000013776,600ms,1041
0.2613210000013737,600ms,1041
0.3925630000013598,600ms,1041
0.2948320000014064,600ms,1041
0.769345000001465,600ms,1041
0.7278750000014611,600ms,1041
0.3067190000014648,600ms,1041
0.2529860000014992,600ms,1041
0.25766600000150675,600ms,1041
0.4959990000015182,600ms,1041
0.6589750000015329,600ms,1041
0.22808300000156123,600ms,1041
1.0069270000015536,600ms,1041
0.848630000001549,600ms,1041
0.4080030000015995,600ms,1041
0.3470620000015856,600ms,1041
0.18876500000158103,600ms,1041
0.3127990000016325,600ms,1041
1.1810390000017037,600ms,1041
0.23580499999997073,900ms,1041
0.33423699999997325,900ms,1041
0.34504799999996294,900ms,1041
0.2898629999999116,900ms,1041
0.24226099999992812,900ms,1041
0.2530729999999153,900ms,1041
0.3839389999998275,900ms,1041
0.3752789999998072,900ms,1041
0.6100089999998204,900ms,1041
0.3482249999997862,900ms,1041
0.144853999999782,900ms,1041
0.17513699999977916,900ms,1041
0.20541999999977634,900ms,1041
0.2746439999997392,900ms,1041
0.6456709999997656,900ms,1041
0.2573249999997529,900ms,1041
0.1729339999997137,900ms,1041
0.37845599999968726,900ms,1041
0.2627059999996959,900ms,1041
0.24430999999970027,900ms,1041
0.3135349999996606,900ms,1041
0.31461099999967246,900ms,1041
0.10150499999963358,900ms,1041
0.724579999999662,900ms,1041
0.11231699999962075,900ms,1041
0.24969099999964328,900ms,1041
0.036584999999604406,900ms,1041
0.2907849999995733,900ms,1041
0.4000279999995655,900ms,1041
0.4692529999995827,900ms,1041
1.1994189999995797,900ms,1041
0.19773299999957317,900ms,1041
0.8208079999995448,900ms,1041
0.4616689999995174,900ms,1041
0.10252999999954682,900ms,1041
1.0468779999995377,900ms,1041
0.11334099999953651,900ms,1041
0.7753589999995256,900ms,1041
0.153359999999509,900ms,1041
0.71802099999951,900ms,1041
0.6022709999995186,900ms,1041
0.7591159999994943,900ms,1041
0.11764599999946768,900ms,1041
1.023050999999498,900ms,1041
0.975449999999455,900ms,1041
0.22688899999945988,900ms,1041
0.3837329999994381,900ms,1041
0.23877599999940458,900ms,1041
0.21064599999942857,900ms,1041
1.0781849999993938,900ms,1041
0.19332599999938793,900ms,1041
0.2430799999993951,900ms,1041
0.1565359999993916,900ms,1041
0.3036459999993326,900ms,1041
1.4632519999993292,900ms,1041
0.258195999999316,900ms,1041
1.31936999999931,900ms,1041
0.298213999999291,900ms,1041
0.29928999999930284,900ms,1041
0.2516879999992625,900ms,1041
0.3403839999992897,900ms,1041
0.16621999999927084,900ms,1041
0.8574439999992478,900ms,1041
0.3912139999993087,900ms,1041
0.15863699999931669,900ms,1041
0.25706799999932173,900ms,1041
0.29708699999935106,900ms,1041
1.0672709999994368,900ms,1041
0.39659399999948164,900ms,1041
0.4074059999995825,900ms,1041
0.2527129999995168,900ms,1041
0.3165059999997766,900ms,1041
0.5176730000000589,900ms,1041
0.5511840000002621,900ms,1041
0.2991360000003169,900ms,1041
0.7275000000003047,900ms,1041
0.39756700000032197,900ms,1041
0.273157000000424,900ms,1041
0.26665000000059536,900ms,1041
0.1314280000005965,900ms,1041
0.6863540000006196,900ms,1041
0.2114650000006577,900ms,1041
1.068193000000747,900ms,1041
0.2904250000007096,900ms,1041
1.4781620000007933,900ms,1041
0.486212000000819,900ms,1041
1.790775000000849,900ms,1041
0.30292300000000694,300ms,1508
