data,condition,animal
0.2769593265306125,600_600,labels_ap_0024
0.72278957369614,600_600,labels_ap_0024
0.15629914739228212,600_600,labels_ap_0024
0.4045315827664382,600_600,labels_ap_0024
0.7112283537414896,600_600,labels_ap_0024
0.59158097732427,600_600,labels_ap_0024
0.24911968027211628,600_600,labels_ap_0024
0.3523879274376611,600_600,labels_ap_0024
0.31703724716553294,300_300,labels_ap_0024
0.2880082471655321,300_300,labels_ap_0024
0.4319586326530569,300_300,labels_ap_0024
0.38243374149659815,300_300,labels_ap_0024
0.31241295918367484,300_300,labels_ap_0024
0.2888080975056653,300_300,labels_ap_0024
0.3355178299319732,300_300,labels_ap_0024
0.3144137097505677,300_300,labels_ap_0024
0.2805637891156607,300_300,labels_ap_0024
0.3487689070294664,300_300,labels_ap_0024
0.3262770385487528,900_900,labels_ap_0024
0.19397225623582415,900_900,labels_ap_0024
0.322859424036281,900_900,labels_ap_0024
0.7226783242630432,900_900,labels_ap_0024
1.1899100272108853,900_900,labels_ap_0024
0.444814433106572,900_900,labels_ap_0024
1.614548759637188,900_900,labels_ap_0024
0.5994194625850469,900_900,labels_ap_0024
0.18322899999999898,600_600,labels_ap_1041
1.0077599999999993,600_600,labels_ap_1041
0.36471662358276613,600_600,labels_ap_1041
0.24658932653061205,600_600,labels_ap_1041
0.23040976190476137,600_600,labels_ap_1041
0.30619765306122204,600_600,labels_ap_1041
0.7532471678004526,600_600,labels_ap_1041
0.1963405736961441,600_600,labels_ap_1041
0.36614427664398974,600_600,labels_ap_1041
0.3134549795918353,600_600,labels_ap_1041
0.4181428208616751,600_600,labels_ap_1041
0.3169084149659831,600_600,labels_ap_1041
0.5122125238095236,600_600,labels_ap_1041
0.41885614739228316,600_600,labels_ap_1041
0.2677102857142799,600_600,labels_ap_1041
0.1320145034013649,600_600,labels_ap_1041
0.028378285714275364,600_600,labels_ap_1041
0.6021626122448893,600_600,labels_ap_1041
0.33733020634920763,600_600,labels_ap_1041
0.2764094240362738,600_600,labels_ap_1041
0.7668641269841174,600_600,labels_ap_1041
0.3552585623582729,600_600,labels_ap_1041
0.3914461564625782,600_600,labels_ap_1041
0.314982671201804,600_600,labels_ap_1041
0.46380418594104356,600_600,labels_ap_1041
0.37839688888890066,600_600,labels_ap_1041
0.1407372154194917,600_600,labels_ap_1041
0.2034371065759757,600_600,labels_ap_1041
0.2998547301587138,600_600,labels_ap_1041
0.42043673015872685,600_600,labels_ap_1041
0.08395962131518786,600_600,labels_ap_1041
