age,condition,animal,calls,predicted,weight,colony,sex,experiment
934,900,123,0.0,0.0,50.0,Chubbs,f,sc
934,900,123,1.2743848642289972,1.0,50.0,Chubbs,f,sc
852,600,129,0.0,0.0,44.8,Chubbs,f,sc
852,600,129,9.20888888888889,1.0,44.8,Chubbs,f,sc
852,900,129,3.9603960396039604,0.0,44.8,Chubbs,f,sc
852,900,129,3.8819723556514063,1.0,44.8,Chubbs,f,sc
770,600,133,0.0,0.0,41.9,Chubbs,f,sc
770,600,133,0.7333333333333333,1.0,41.9,Chubbs,f,sc
770,900,133,0.9900990099009901,0.0,41.9,Chubbs,f,sc
770,900,133,0.6273894716204295,1.0,41.9,Chubbs,f,sc
5910,600,1,2.666666666666667,0.0,54.2,Baggins,f,sc
5910,600,1,9.719999999999999,1.0,54.2,Baggins,f,sc
5910,900,1,19.801980198019802,0.0,54.2,Baggins,f,sc
5910,900,1,23.29183413390844,1.0,54.2,Baggins,f,sc
2136,600,11,4.0,0.0,73.9,Baggins,f,sc
2136,600,11,8.71111111111111,1.0,73.9,Baggins,f,sc
2136,900,11,37.62376237623762,0.0,73.9,Baggins,f,sc
2136,900,11,38.58445250465641,1.0,73.9,Baggins,f,sc
1238,600,18,0.0,0.0,36.0,Baggins,f,sc
1238,600,18,1.9555555555555555,1.0,36.0,Baggins,f,sc
1238,900,18,0.0,0.0,36.0,Baggins,f,sc
1238,900,18,0.09802960494069209,1.0,36.0,Baggins,f,sc
5581,600,2,2.666666666666667,0.0,46.7,Baggins,m,sc
5581,600,2,12.942222222222222,1.0,46.7,Baggins,m,sc
5581,900,2,15.841584158415841,0.0,46.7,Baggins,m,sc
5581,900,2,16.459170669542203,1.0,46.7,Baggins,m,sc
1922,600,7,2.666666666666667,0.0,50.2,Baggins,f,sc
1922,600,7,8.586666666666668,1.0,50.2,Baggins,f,sc
1922,900,7,13.861386138613863,0.0,50.2,Baggins,f,sc
1922,900,7,16.23370257817861,1.0,50.2,Baggins,f,sc
1660,600,9,2.0,0.0,44.5,Baggins,f,sc
1660,600,9,4.088888888888889,1.0,44.5,Baggins,f,sc
1660,900,9,10.891089108910892,0.0,44.5,Baggins,f,sc
1660,900,9,8.852073326144497,1.0,44.5,Baggins,f,sc
