mean_response_noise,mean_response_silent,percentage,condition,animal,mean_response_timing,total,age,weight,colony,sex,experiment
0.37851000000078666,0.12498143750084767,0.575,600,5,0.5278401951227311,41.0,1698.0,44.0,Baggins,f,noise
0.3793404285710186,0.4653632499996888,0.6363636363636364,900,5,0.7378941818178077,10.0,1698.0,44.0,Baggins,f,noise
0.29676739130519164,0.15818006666771112,0.7931034482758621,600,63,0.38631167777867415,91.0,1720.0,56.1,Brandybucks,f,noise
0.34525010144896695,0.24603949999940367,0.8493150684931506,900,63,0.4513562068962845,92.0,1720.0,56.1,Brandybucks,f,noise
0.38594680555648453,0.15976717391418693,0.6101694915254238,600,200,0.531673389831521,60.0,519.0,42.0,Chubbs,m,noise
0.3882515000007686,0.14446885000099885,0.6,600,233,0.5307384400008607,50.0,317.0,33.0,Brandybucks,f,noise
0.4500105714282573,0.3028595999999425,0.5833333333333334,900,233,0.7636976666664594,12.0,317.0,33.0,Brandybucks,f,noise
0.302749829268914,0.07867171428684161,0.8367346938775511,600,100,0.3695781400007337,49.0,720.0,45.6,Brandybucks,f,noise
0.4175305909092618,0.1645219999997266,0.88,900,100,0.5111982222224343,26.0,720.0,45.6,Brandybucks,f,noise
0.4708645000009142,0.2110786666676815,0.3076923076923077,600,259,0.7063973846163685,12.0,227.0,30.0,Brandybucks,m,noise
0.43387719230851146,0.16120308333428945,0.6842105263157895,600,284,0.5372432631587571,37.0,163.0,27.2,Boffin,m,noise
0.5785043913040944,0.04978799999961436,0.8846153846153846,900,284,0.665152249999762,27.0,163.0,27.2,Boffin,m,noise
0.3960262000008788,0.07731825000067882,0.6756756756756757,600,17,0.487256054054868,36.0,1353.0,46.1,Baggins,f,noise
0.40641866666656296,0.40153200000000877,0.5,900,17,0.766121466666588,14.0,1353.0,46.1,Baggins,f,noise
0.48041581579052656,0.155539418605376,0.4691358024691358,600,11,0.6264690864206318,81.0,2019.0,71.8,Baggins,f,noise
0.44263517073119374,0.18197681249963293,0.5846153846153846,900,11,0.6555231124995544,80.0,2019.0,71.8,Baggins,f,noise
0.44327586111199224,0.09227087096861664,0.5294117647058824,600,110,0.5522006521748151,70.0,5902.0,55.3,Chubbs,f,noise
0.49951754999964776,0.1374149999997013,0.8333333333333334,900,110,0.6107316530609025,48.0,5902.0,55.3,Chubbs,f,noise
0.4452992000008976,0.20051942105371445,0.21739130434782608,600,280,0.7265152083343777,24.0,163.0,29.4,Boffin,m,noise
0.4180209166676079,0.19191950000085856,0.75,600,178,0.5114955625009205,15.0,600.0,42.6,Chubbs,f,noise
0.29275121428654977,0.4270295000008645,0.875,600,185,0.3845360000008391,15.0,575.0,60.0,Boffin,f,noise
0.3447974545454713,0.8675950000013927,0.9565217391304348,900,185,0.4066582173913809,22.0,575.0,60.0,Boffin,f,noise
0.29857250000077473,0.09155400000070701,0.851063829787234,600,191,0.3646235000008045,49.0,575.0,38.9,Boffin,f,noise
0.4750778181814532,0.592678999999877,0.7857142857142857,900,191,0.6931352142854011,14.0,575.0,38.9,Boffin,f,noise
0.297999217392314,0.16349866666798984,0.7419354838709677,600,184,0.411227090910176,35.0,575.0,47.6,Boffin,f,noise
0.6025713333334011,0.47017866666675057,0.42857142857142855,900,184,0.8748606250000606,7.0,575.0,47.6,Boffin,f,noise
0.3449636083342099,0.1328490000006569,0.8561151079136691,600,195,0.39226115894127395,151.0,575.0,64.0,Boffin,f,noise
0.3907364531255588,0.14937300000028697,0.7349397590361446,900,195,0.5521175504592198,110.0,575.0,64.0,Boffin,f,noise
0.3232171724145577,0.09477717647153183,0.7160493827160493,600,186,0.4273619540237976,88.0,553.0,33.4,Brandybucks,m,noise
0.45381361111066415,0.5570631999998,0.6923076923076923,900,186,0.7139348620685307,28.0,553.0,33.4,Brandybucks,m,noise
0.38584142857220627,0.19211185714381063,0.5,600,176,0.5889766428580084,27.0,600.0,45.0,Chubbs,m,noise
0.43061647826044197,0.22790499999985625,0.7931034482758621,900,176,0.5870528064512339,30.0,600.0,45.0,Chubbs,m,noise
0.37253364285788443,0.16372920000106317,0.7567567567567568,600,179,0.47547984210608935,37.0,600.0,37.6,Chubbs,m,noise
0.46710499999993543,0.3983980000001718,0.5882352941176471,900,179,0.7027931428570036,21.0,600.0,37.6,Chubbs,m,noise
0.5176370000012867,0.3042967142870485,0.25,600,1,0.818372333334657,9.0,5793.0,43.6,Baggins,f,noise
0.28212599999937993,0.10994783333313374,0.125,900,1,0.9773752222221851,8.0,5793.0,43.6,Baggins,f,noise
0.3508418115941936,0.1677383157894634,0.6106194690265486,600,22,0.4578806594202794,160.0,2501.0,75.7,Took,m,sc
0.5104055599999997,0.3676299333333316,0.2191780821917808,900,22,0.8031571328124991,139.0,2501.0,75.7,Took,m,sc
0.37564117741934505,0.09493129629628505,0.6888888888888889,600,26,0.47349415384614374,92.0,1792.0,48.2,Took,m,sc
0.4533803999999994,0.23857846153845574,0.6818181818181818,900,26,0.639697533980583,111.0,1792.0,48.2,Took,m,sc
0.3512998333333333,0.07045350000001493,0.75,600,29,0.4310882500000037,8.0,1316.0,56.4,Took,f,sc
0.3600666071428691,0.3431835999999976,0.7941176470588235,900,29,0.5327237027027106,40.0,1316.0,56.4,Took,f,sc
0.4620060714285777,0.4021804999999915,0.875,900,32,0.5670278750000044,15.0,1316.0,54.9,Took,m,sc
0.313625262711867,0.10683066666667729,0.9291338582677166,600,113,0.3414902125984284,131.0,2592.0,71.8,Chubbs,m,sc
