age,condition,animal,mean_response_base,mean_response_timing_first,mean_response_timing_second,mean_response_std,epoch_type,weight,colony,sex,experiment
934,600,123,0.3914343333333395,0.3914343333333395,,0.15714482250883535,1.0,50.0,Chubbs,f,sc
934,600,123,0.1759300909090944,,0.1759300909090944,0.11708287623921637,2.0,50.0,Chubbs,f,sc
934,900,123,0.5615178000000028,0.5615178000000028,,0.2148080373951624,1.0,50.0,Chubbs,f,sc
934,900,123,0.3220580769230802,,0.3220580769230802,0.17133622779851818,2.0,50.0,Chubbs,f,sc
852,600,129,0.39408218918918936,0.39408218918918936,,0.12350670192119434,1.0,44.8,Chubbs,f,sc
852,600,129,0.13581692857143368,,0.13581692857143368,0.10825725519333351,2.0,44.8,Chubbs,f,sc
852,900,129,0.5464472250000227,0.5464472250000227,,0.1859750461171479,1.0,44.8,Chubbs,f,sc
852,900,129,0.1684906000000409,,0.1684906000000409,0.21758481002547897,2.0,44.8,Chubbs,f,sc
852,900,129,,0.27801525000002414,0.414826750000023,,3.0,44.8,Chubbs,f,sc
770,600,133,0.33572042424241966,0.33572042424241966,,0.11580277433035553,1.0,41.9,Chubbs,f,sc
770,600,133,0.13333399999999362,,0.13333399999999362,0.08937444451071312,2.0,41.9,Chubbs,f,sc
770,900,133,0.44892726666667876,0.44892726666667876,,0.18303647557885885,1.0,41.9,Chubbs,f,sc
770,900,133,0.3041576666666742,,0.3041576666666742,0.1367184620167256,2.0,41.9,Chubbs,f,sc
770,900,133,,0.4333510000000729,0.10624500000003534,,3.0,41.9,Chubbs,f,sc
5910,600,1,0.3687262597402681,0.3687262597402681,,0.10892245460167203,1.0,54.2,Baggins,f,sc
5910,600,1,0.14794673913045464,,0.14794673913045464,0.1259164587726564,2.0,54.2,Baggins,f,sc
5910,600,1,,0.17011350000002778,0.16814299999999494,,3.0,54.2,Baggins,f,sc
5910,900,1,0.43991246428571784,0.43991246428571784,,0.18452507273596655,1.0,54.2,Baggins,f,sc
5910,900,1,0.08817099999999634,,0.08817099999999634,0.05901175401170314,2.0,54.2,Baggins,f,sc
5910,900,1,,0.29428534999999273,0.2726634499999931,,3.0,54.2,Baggins,f,sc
2136,600,11,0.35217993478261145,0.35217993478261145,,0.11434184456866651,1.0,73.9,Baggins,f,sc
2136,600,11,0.08139657142857026,,0.08139657142857026,0.09807195058418941,2.0,73.9,Baggins,f,sc
2136,600,11,,0.1326503333333354,0.18795966666667432,,3.0,73.9,Baggins,f,sc
2136,900,11,0.4502577230769134,0.4502577230769134,,0.21382798460585267,1.0,73.9,Baggins,f,sc
2136,900,11,0.11869099999999932,,0.11869099999999932,0.07624945618605437,2.0,73.9,Baggins,f,sc
2136,900,11,,0.3217875789473622,0.32623084210525527,,3.0,73.9,Baggins,f,sc
1238,600,18,0.2792776999999965,0.2792776999999965,,0.1299226988678699,1.0,36.0,Baggins,f,sc
1238,600,18,0.18589627272726983,,0.18589627272726983,0.1303035039681546,2.0,36.0,Baggins,f,sc
1238,900,18,0.4011398000000099,0.4011398000000099,,0.1113458003579753,1.0,36.0,Baggins,f,sc
1238,900,18,0.37978750000005446,,0.37978750000005446,0.22303249999998798,2.0,36.0,Baggins,f,sc
5581,600,2,0.3245872988505665,0.3245872988505665,,0.12290718281855766,1.0,46.7,Baggins,m,sc
5581,600,2,0.12062328571427816,,0.12062328571427816,0.09964988486405084,2.0,46.7,Baggins,m,sc
5581,600,2,,0.1531652499999936,0.2509969999999996,,3.0,46.7,Baggins,m,sc
5581,900,2,0.45938766101693895,0.45938766101693895,,0.21373870689673585,1.0,46.7,Baggins,m,sc
5581,900,2,0.1552400000000017,,0.1552400000000017,0.1070210753516815,2.0,46.7,Baggins,m,sc
5581,900,2,,0.3552306111111123,0.38045487500000374,,3.0,46.7,Baggins,m,sc
1922,600,7,0.3114640769230977,0.3114640769230977,,0.11184875570207631,1.0,50.2,Baggins,f,sc
1922,600,7,0.11814895833334926,,0.11814895833334926,0.09460247570468308,2.0,50.2,Baggins,f,sc
1922,600,7,,0.17530950000003998,0.32121975000003433,,3.0,50.2,Baggins,f,sc
1922,900,7,0.422060836065578,0.422060836065578,,0.23554611268216205,1.0,50.2,Baggins,f,sc
1922,900,7,0.3445978888889075,,0.3445978888889075,0.24775749602940564,2.0,50.2,Baggins,f,sc
1922,900,7,,0.24937542857144632,0.3226847142857317,,3.0,50.2,Baggins,f,sc
1660,600,9,0.36019959459457596,0.36019959459457596,,0.15963030668230738,1.0,44.5,Baggins,f,sc
1660,600,9,0.1684710999999851,,0.1684710999999851,0.12257661755811868,2.0,44.5,Baggins,f,sc
1660,600,9,,0.08591166666663715,0.2366463333332869,,3.0,44.5,Baggins,f,sc
1660,900,9,0.35489187499999686,0.35489187499999686,,0.2263635738297641,1.0,44.5,Baggins,f,sc
1660,900,9,0.22052169999999716,,0.22052169999999716,0.17410500813534088,2.0,44.5,Baggins,f,sc
1660,900,9,,0.4041539999999974,0.361459545454542,,3.0,44.5,Baggins,f,sc
